Saraksts,Partija,Numurs,Vards,Riga,Vidzeme,Latgale,Kurzeme,Zemgale
4,"Partija ""VIENOTĪBA""",108,Viktors Valainis,,,,,4
4,"Partija ""VIENOTĪBA""",109,Māris Vārna,,,,9,
4,"Partija ""VIENOTĪBA""",110,Ilze Vergina,,13,,,
4,"Partija ""VIENOTĪBA""",111,Juris Galerijs Vidiņš,,,11,,
4,"Partija ""VIENOTĪBA""",112,Kaspars Vidiņš,,,17,,
4,"Partija ""VIENOTĪBA""",113,Ilze Viņķele,7,,,,
4,"Partija ""VIENOTĪBA""",114,Dzintars Zaķis,,,3,,
4,"Partija ""VIENOTĪBA""",115,Mikus Žagata,,,,12,
5,"""POLITISKĀ PARTIJA IZAUGSME""",1,Dina Balode,,,,3,
5,"""POLITISKĀ PARTIJA IZAUGSME""",2,Natālija Bērza,9,,,,
5,"""POLITISKĀ PARTIJA IZAUGSME""",3,Gaida Bērziņa,,5,,,
5,"""POLITISKĀ PARTIJA IZAUGSME""",4,Aldis Bondars,,3,,,
5,"""POLITISKĀ PARTIJA IZAUGSME""",5,Rinalds Brālis,7,,,,
5,"""POLITISKĀ PARTIJA IZAUGSME""",6,Artūrs Čačka,,19,,,
5,"""POLITISKĀ PARTIJA IZAUGSME""",7,Ainis Dzalbs,,,,,4
5,"""POLITISKĀ PARTIJA IZAUGSME""",8,Velga Eklona,4,,,,
5,"""POLITISKĀ PARTIJA IZAUGSME""",9,Normunds Eliņš,,18,,,
5,"""POLITISKĀ PARTIJA IZAUGSME""",10,Indra Garsele,,4,,,
5,"""POLITISKĀ PARTIJA IZAUGSME""",11,Sandra Gintere,2,,,,
5,"""POLITISKĀ PARTIJA IZAUGSME""",12,Dace Jakovicka,,,,2,
5,"""POLITISKĀ PARTIJA IZAUGSME""",13,Aija Jaunmuktāne,,,,,1
5,"""POLITISKĀ PARTIJA IZAUGSME""",14,Uldis Kasemirs,,,,,2
5,"""POLITISKĀ PARTIJA IZAUGSME""",15,Roberts Kuzņerevičs,,,1,,
5,"""POLITISKĀ PARTIJA IZAUGSME""",16,Egita Ķeive,,10,,,
