Saraksts,Partija,Numurs,Vards,Gender,Apgabals,Rangs
4,"Partija ""VIENOTĪBA""",97,Laimdota Straujuma,Female,Vidzeme,1
4,"Partija ""VIENOTĪBA""",98,Kārlis Strēlis,Male,Riga,15
4,"Partija ""VIENOTĪBA""",99,Ainārs Sviklis,Male,Zemgale,15
4,"Partija ""VIENOTĪBA""",100,Kārlis Šadurskis,Male,Vidzeme,5
4,"Partija ""VIENOTĪBA""",101,Arnis Šķēls,Male,Vidzeme,23
4,"Partija ""VIENOTĪBA""",102,Juris Šulcs,Male,Zemgale,2
4,"Partija ""VIENOTĪBA""",103,Vija Tirzmale,Female,Riga,28
4,"Partija ""VIENOTĪBA""",104,Normunds Tropiņš,Male,Kurzeme,5
4,"Partija ""VIENOTĪBA""",105,Andris Ulāns,Male,Zemgale,16
4,"Partija ""VIENOTĪBA""",106,Maija Upeniece,Female,Latgale,9
4,"Partija ""VIENOTĪBA""",107,Jānis Upenieks,Male,Vidzeme,16
4,"Partija ""VIENOTĪBA""",108,Viktors Valainis,Male,Zemgale,4
4,"Partija ""VIENOTĪBA""",109,Māris Vārna,Male,Kurzeme,9
4,"Partija ""VIENOTĪBA""",110,Ilze Vergina,Female,Vidzeme,13
4,"Partija ""VIENOTĪBA""",111,Juris Galerijs Vidiņš,Male,Latgale,11
4,"Partija ""VIENOTĪBA""",112,Kaspars Vidiņš,Male,Latgale,17
4,"Partija ""VIENOTĪBA""",113,Ilze Viņķele,Female,Riga,7
4,"Partija ""VIENOTĪBA""",114,Dzintars Zaķis,Male,Latgale,3
4,"Partija ""VIENOTĪBA""",115,Mikus Žagata,Male,Kurzeme,12
5,"""POLITISKĀ PARTIJA IZAUGSME""",1,Dina Balode,Female,Kurzeme,3
5,"""POLITISKĀ PARTIJA IZAUGSME""",2,Natālija Bērza,Female,Riga,9
5,"""POLITISKĀ PARTIJA IZAUGSME""",3,Gaida Bērziņa,Female,Vidzeme,5
5,"""POLITISKĀ PARTIJA IZAUGSME""",4,Aldis Bondars,Male,Vidzeme,3
