Saraksts,Partija,Vards,Apgabals,Numurs,Gads,DarbaVieta,Amats
2,"""Latvijas Krievu savienība""",Aleksejs Kovaļevskis,Vidzeme,19,1971,SIA Vedic Institute of Healthcare and Research,valdes loceklis
2,"""Latvijas Krievu savienība""",Valentīna Kudrjavceva,Zemgale,4,1967,SIA Edelīna AG,Valdes loceklis
2,"""Latvijas Krievu savienība""",Aleksejs Kurepins,Rīga,34,1988,"SIA ""Kavis""",operators
2,"""Latvijas Krievu savienība""",Karīna Larionova,Vidzeme,12,1986,SIA Apotheka,Farmaceita asistente
2,"""Latvijas Krievu savienība""",Andrejs Larionovs,Latgale,8,1971,"Asociācija ""Latvijas černobiliešu savienība""",valdes loceklis
2,"""Latvijas Krievu savienība""",Sergejs Lavrenovs,Latgale,12,1966,partijas LKS Daugavpils teritoriāla organizācijā,projektu koordinators
2,"""Latvijas Krievu savienība""",Andrejs Lukaševics,Vidzeme,9,1982,"VAS «LDZ», EPR-1,EPED-1",Energodispečeris
2,"""Latvijas Krievu savienība""",Nataļja Ļebedeva,Rīga,17,1959,Avīze Segodņa,žurnālistie
2,"""Latvijas Krievu savienība""",Anatolijs Ļitvinovs,Zemgale,12,1946,NVO RETRO Jelgava,vadītājs
2,"""Latvijas Krievu savienība""",Julianna Matašova,Vidzeme,15,1981,SIA MedProf,tirgvedības vadītājs
2,"""Latvijas Krievu savienība""",Tamāra Meļņikova,Vidzeme,6,1969,Pašnodarbināta persona,Jurists
2,"""Latvijas Krievu savienība""",Igors Meļņikovs,Rīga,5,1969,Pašnodarbināta persona,Jurists
2,"""Latvijas Krievu savienība""",Jekaterina Mitrofanova,Rīga,14,1997,Eiropas Parlaments,Eiropas Parlamenta deputātes palīdze
2,"""Latvijas Krievu savienība""",Miroslavs Mitrofanovs,Rīga,1,1966,Partija Latvijas Krievu savienība,Līdzpriekšsēdētājs
2,"""Latvijas Krievu savienība""",Maksims Molčanovs,Rīga,15,2000,partija Latvijas Krievu savienība,Jauniešu projektu koordinators
2,"""Latvijas Krievu savienība""",Ņikita Molčanovs,Rīga,27,2000,Bolt scooter service,operators
2,"""Latvijas Krievu savienība""",Sergejs Muļivanovs,Kurzeme,10,1967,SIA RSS,Inženieris
