Saraksts,Partija,OldNumurs,Ievelets,Vards,Gender,Apgabals,Numurs,Ievelets
4,"Partija ""VIENOTĪBA""",63,false,Valērijs Makarevičs,Male,Latgale,10,false
4,"Partija ""VIENOTĪBA""",64,true,Anrijs Matīss,Male,Latgale,1,true
4,"Partija ""VIENOTĪBA""",65,false,Linda Medene,Female,Vidzeme,7,false
4,"Partija ""VIENOTĪBA""",66,false,Vilnis Meškinis,Male,Vidzeme,24,false
4,"Partija ""VIENOTĪBA""",67,false,Ināra Mukāne,Female,Latgale,14,false
4,"Partija ""VIENOTĪBA""",68,false,Eleonora Obrumāne,Female,Latgale,18,false
4,"Partija ""VIENOTĪBA""",69,false,Jānis Ozoliņš,Male,Zemgale,6,false
4,"Partija ""VIENOTĪBA""",70,false,Guntis Pirvits,Male,Kurzeme,16,false
4,"Partija ""VIENOTĪBA""",71,false,Anna Plauča,Female,Riga,29,false
4,"Partija ""VIENOTĪBA""",72,false,Valdis Plaudis,Male,Kurzeme,15,false
4,"Partija ""VIENOTĪBA""",73,false,Līvija Plavinska,Female,Latgale,5,false
4,"Partija ""VIENOTĪBA""",74,false,Elīna Pļaviņa,Female,Zemgale,17,false
4,"Partija ""VIENOTĪBA""",75,false,Laimdota Podze,Female,Riga,32,false
4,"Partija ""VIENOTĪBA""",76,false,Inga Priede,Female,Zemgale,7,false
4,"Partija ""VIENOTĪBA""",77,false,Olafs Pulks,Male,Riga,9,false
4,"Partija ""VIENOTĪBA""",78,false,Gatis Puriņš,Male,Vidzeme,29,false
4,"Partija ""VIENOTĪBA""",79,false,Sanita Putniņa,Female,Latgale,12,false
4,"Partija ""VIENOTĪBA""",80,false,Renārs Putniņš,Male,Riga,12,false
4,"Partija ""VIENOTĪBA""",81,true,Romualds Ražuks,Male,Vidzeme,14,true
4,"Partija ""VIENOTĪBA""",82,false,Viesturs Reinfelds,Male,Zemgale,11,false
4,"Partija ""VIENOTĪBA""",83,true,Jānis Reirs,Male,Zemgale,1,true
4,"Partija ""VIENOTĪBA""",84,true,Edgars Rinkēvičs,Male,Riga,1,true
4,"Partija ""VIENOTĪBA""",85,false,Armīns Robežnieks,Male,Kurzeme,7,false
4,"Partija ""VIENOTĪBA""",86,false,Uģis Rotbergs,Male,Riga,11,false
4,"Partija ""VIENOTĪBA""",87,false,Gita Rūtiņa,Female,Zemgale,13,false
4,"Partija ""VIENOTĪBA""",88,false,Ansis Saliņš,Male,Zemgale,9,false
4,"Partija ""VIENOTĪBA""",89,false,Evika Siliņa,Female,Zemgale,10,false
4,"Partija ""VIENOTĪBA""",90,false,Aivars Siliņš,Male,Riga,26,false
4,"Partija ""VIENOTĪBA""",91,false,Edvards Smiltēns,Male,Vidzeme,9,false
4,"Partija ""VIENOTĪBA""",92,false,Vasilijs Smuļs,Male,Latgale,13,false
4,"Partija ""VIENOTĪBA""",93,false,Kintija Sparāne,Female,Vidzeme,20,false
4,"Partija ""VIENOTĪBA""",94,false,Veiko Spolītis,Male,Riga,14,false
4,"Partija ""VIENOTĪBA""",95,false,Viktors Stikuts,Male,Latgale,6,false
4,"Partija ""VIENOTĪBA""",96,false,Guntis Stirna,Male,Riga,35,false
