Saraksts,Partija,Numurs,Vards,Apgabals,Rangs
5,"""POLITISKĀ PARTIJA IZAUGSME""",25,Mārcis Rudzītis,Vidzeme,9
5,"""POLITISKĀ PARTIJA IZAUGSME""",26,Ainārs Rudzītis,Riga,3
5,"""POLITISKĀ PARTIJA IZAUGSME""",27,Ingrida Sebre,Vidzeme,14
5,"""POLITISKĀ PARTIJA IZAUGSME""",28,Jānis Siliņš,Vidzeme,7
5,"""POLITISKĀ PARTIJA IZAUGSME""",29,Andris Skride,Vidzeme,1
5,"""POLITISKĀ PARTIJA IZAUGSME""",30,Silva Skride,Latgale,3
5,"""POLITISKĀ PARTIJA IZAUGSME""",31,Madara Stankuna,Kurzeme,1
5,"""POLITISKĀ PARTIJA IZAUGSME""",32,Artis Svaža,Riga,5
5,"""POLITISKĀ PARTIJA IZAUGSME""",33,Svetlana Anna Šauro,Vidzeme,8
5,"""POLITISKĀ PARTIJA IZAUGSME""",34,Agnis Šumakovs,Vidzeme,11
5,"""POLITISKĀ PARTIJA IZAUGSME""",35,Adriana Treikule,Latgale,2
5,"""POLITISKĀ PARTIJA IZAUGSME""",36,Vladimirs Trofimovs,Riga,10
5,"""POLITISKĀ PARTIJA IZAUGSME""",37,Jānis Viegliņš,Riga,6
5,"""POLITISKĀ PARTIJA IZAUGSME""",38,Raivis Zāģers,Vidzeme,12
5,"""POLITISKĀ PARTIJA IZAUGSME""",39,Juris Žilko,Vidzeme,6
6,"Partija ""Vienoti Latvijai""",1,Žaneta Abramsone,Riga,16
6,"Partija ""Vienoti Latvijai""",2,Andis Adats,Vidzeme,5
6,"Partija ""Vienoti Latvijai""",3,Vladimirs Afanasjevs,Latgale,13
6,"Partija ""Vienoti Latvijai""",4,Marija Aļbinoviča,Riga,22
6,"Partija ""Vienoti Latvijai""",5,Ainārs Arnītis,Zemgale,8
6,"Partija ""Vienoti Latvijai""",6,Andrejs Artjomovs,Vidzeme,10
6,"Partija ""Vienoti Latvijai""",7,Uvis Avens,Vidzeme,20
6,"Partija ""Vienoti Latvijai""",8,Gaida Avotiņa,Zemgale,10
6,"Partija ""Vienoti Latvijai""",9,Aleksandrs Beļevičs,Riga,18
6,"Partija ""Vienoti Latvijai""",10,Aleksandrs Bogdanovs,Kurzeme,12
6,"Partija ""Vienoti Latvijai""",11,Artis Brūvers,Vidzeme,4
6,"Partija ""Vienoti Latvijai""",12,Veronika Burova,Riga,27
6,"Partija ""Vienoti Latvijai""",13,Viktorija Čerenkova,Riga,25
6,"Partija ""Vienoti Latvijai""",14,Gunārs Dāboliņš,Vidzeme,3
6,"Partija ""Vienoti Latvijai""",15,Andris Deniņš,Riga,5
6,"Partija ""Vienoti Latvijai""",16,Vjačeslavs Dubovskis,Latgale,6
6,"Partija ""Vienoti Latvijai""",17,Ēriks Flaumanis,Vidzeme,23
6,"Partija ""Vienoti Latvijai""",18,Ģirts Freimanis,Riga,33
6,"Partija ""Vienoti Latvijai""",19,Guntis Gelpers,Zemgale,4
6,"Partija ""Vienoti Latvijai""",20,Pēteris Goba,Zemgale,15
6,"Partija ""Vienoti Latvijai""",21,Ivars Godmanis,Vidzeme,1
6,"Partija ""Vienoti Latvijai""",22,Jānis Grigaļūns,Vidzeme,9
6,"Partija ""Vienoti Latvijai""",23,Inese Grigoruka,Kurzeme,5
6,"Partija ""Vienoti Latvijai""",24,Lauris Grīns,Riga,14
6,"Partija ""Vienoti Latvijai""",25,Ivars Gulbis,Riga,34
6,"Partija ""Vienoti Latvijai""",26,Zane Ģierte,Kurzeme,7
6,"Partija ""Vienoti Latvijai""",27,Gundega Jaunbērziņa-Beitika,Riga,13
6,"Partija ""Vienoti Latvijai""",28,Vadims Jerošenko,Riga,2
6,"Partija ""Vienoti Latvijai""",29,Oskars Juhnevičs,Latgale,2
6,"Partija ""Vienoti Latvijai""",30,Karīna Juhņeviča,Latgale,16
6,"Partija ""Vienoti Latvijai""",31,Jānis Jukna,Latgale,3
6,"Partija ""Vienoti Latvijai""",32,Jānis Jurkāns,Latgale,1
6,"Partija ""Vienoti Latvijai""",33,Ivars Kalvišķis,Vidzeme,2
6,"Partija ""Vienoti Latvijai""",34,Aigars Kalvītis,Zemgale,1
6,"Partija ""Vienoti Latvijai""",35,Edmunds Kaševskis,Riga,7
