Apgabals,Struktūrvienība,Party,Name,Gender,Number,Pluses,Minuses
Riga,Rīga,"5. ""SUVERĒNĀ VARA""",Andrejs Šikors,Male,13,911,124
Riga,Rīga,"5. ""SUVERĒNĀ VARA""",Alla Petrenko,Female,14,1015,125
Riga,Rīga,"5. ""SUVERĒNĀ VARA""",Viktorija Žuka-Ņikuļina,Female,15,921,118
Riga,Rīga,"5. ""SUVERĒNĀ VARA""",Olga Apsīte,Female,16,1026,123
Riga,Rīga,"5. ""SUVERĒNĀ VARA""",Aleksandrs Pikaļovs,Male,17,905,119
Riga,Rīga,"5. ""SUVERĒNĀ VARA""",Armands Kaļišuks,Male,18,904,125
Riga,Rīga,"5. ""SUVERĒNĀ VARA""",Marita Oliņa,Female,19,861,120
Riga,Rīga,"5. ""SUVERĒNĀ VARA""",Sergejs Bodarovs,Male,20,982,117
Riga,Rīga,"5. ""SUVERĒNĀ VARA""",Sergejs Ortinskis,Male,21,970,128
Riga,Rīga,"5. ""SUVERĒNĀ VARA""",Vitālijs Kuļčihins,Male,22,880,116
Riga,Rīga,"5. ""SUVERĒNĀ VARA""",Aleksandra Voskoboiņika,Female,23,944,124
Riga,Rīga,"5. ""SUVERĒNĀ VARA""",Timurs Safiuļins,Male,24,870,124
Riga,Rīga,"5. ""SUVERĒNĀ VARA""",Aleksandrs Ipatovs,Male,25,899,113
Riga,Rīga,"5. ""SUVERĒNĀ VARA""",Natalija Osovska,Female,26,886,106
Riga,Rīga,"5. ""SUVERĒNĀ VARA""",Osvalds Kretainis,Male,27,801,118
Riga,Rīga,"5. ""SUVERĒNĀ VARA""",Jeļena Tjurina,Female,28,901,103
Riga,Rīga,"5. ""SUVERĒNĀ VARA""",Oksana Sadigova,Female,29,865,116
Riga,Rīga,"5. ""SUVERĒNĀ VARA""",Dainis Gīrupnieks,Male,30,824,118
Riga,Rīga,"5. ""SUVERĒNĀ VARA""",Andrejs Jefremovs,Male,31,1008,112
Riga,Rīga,"5. ""SUVERĒNĀ VARA""",Una Melameda,Female,32,817,124
Riga,Rīga,"5. ""SUVERĒNĀ VARA""",Silvita Kravale,Female,33,825,114
Riga,Rīga,"5. ""SUVERĒNĀ VARA""",Igors Svincickis,Male,34,811,112
Riga,Rīga,"5. ""SUVERĒNĀ VARA""",Aleksejs Dubovs,Male,35,929,126
Riga,Rīga,"5. ""SUVERĒNĀ VARA""",Vladimirs Vorohobovs,Male,36,842,119
Riga,Rīga,"5. ""SUVERĒNĀ VARA""",Vadims Iļasovs,Male,37,881,132
Riga,Rīga,"5. ""SUVERĒNĀ VARA""",Dainis V Michelis,Male,38,815,148
Riga,Rīga,"5. ""SUVERĒNĀ VARA""",Kristīne Siričenko,Female,39,847,119
Riga,Rīga,"6. ""Kristīgi Progresīvā Partija""",Andrejs Krasņikovs,Male,1,122,13
Riga,Rīga,"6. ""Kristīgi Progresīvā Partija""",Oskars Švāns,Male,2,87,8
Riga,Rīga,"6. ""Kristīgi Progresīvā Partija""",Gunita Ozola-Kviese,Female,3,75,8
Riga,Rīga,"6. ""Kristīgi Progresīvā Partija""",Vija Kārkliņa,Female,4,50,10
Riga,Rīga,"6. ""Kristīgi Progresīvā Partija""",Ina Mažgane,Female,5,44,14
