Apgabals,Struktūrvienība,Party,Name,Number,Pluses,Minuses
Kurzeme,Kurzeme,16. Attīstībai/Par!,Nora Patmalniece,6,185,179
Kurzeme,Kurzeme,16. Attīstībai/Par!,Ēriks Lingebērziņš,7,151,165
Kurzeme,Kurzeme,16. Attīstībai/Par!,Liene Reine-Miteva,8,163,172
Kurzeme,Kurzeme,16. Attīstībai/Par!,Gunta Jankovska,9,200,168
Kurzeme,Kurzeme,16. Attīstībai/Par!,Reinis Strolis,10,160,162
Kurzeme,Kurzeme,16. Attīstībai/Par!,Indra Rassa,11,257,223
Kurzeme,Kurzeme,16. Attīstībai/Par!,Nadīna Millere,12,151,180
Kurzeme,Kurzeme,16. Attīstībai/Par!,Gatis Nierliņš,13,100,212
Kurzeme,Kurzeme,16. Attīstībai/Par!,Aivars Graikstis,14,116,182
Kurzeme,Kurzeme,16. Attīstībai/Par!,Jurģis Spulenieks,15,163,204
Kurzeme,Kurzeme,"17. ""Apvienība Latvijai""",Guntis Rolis,1,62,10
Kurzeme,Kurzeme,"17. ""Apvienība Latvijai""",Jānis Gaudiešus,2,45,10
Kurzeme,Kurzeme,"17. ""Apvienība Latvijai""",Egils Matīss Madelis,3,46,10
Kurzeme,Kurzeme,"17. ""Apvienība Latvijai""",Iveta Samiņa,4,44,9
Kurzeme,Kurzeme,"17. ""Apvienība Latvijai""",Armands Bramanis,5,34,10
Kurzeme,Kurzeme,"17. ""Apvienība Latvijai""",Jānis Lesiņš,6,35,8
Kurzeme,Kurzeme,"18. ""APVIENOTAIS SARAKSTS - Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija""",Māris Kučinskis,1,5781,2841
Kurzeme,Kurzeme,"18. ""APVIENOTAIS SARAKSTS - Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija""",Linda Matisone,2,3247,1264
Kurzeme,Kurzeme,"18. ""APVIENOTAIS SARAKSTS - Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija""",Aija Barča,3,2943,4031
Kurzeme,Kurzeme,"18. ""APVIENOTAIS SARAKSTS - Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija""",Edgars Putra,4,3179,1640
Kurzeme,Kurzeme,"18. ""APVIENOTAIS SARAKSTS - Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija""",Aivis Landmanis,5,1104,1387
Kurzeme,Kurzeme,"18. ""APVIENOTAIS SARAKSTS - Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija""",Atis Deksnis,6,3123,1270
Kurzeme,Kurzeme,"18. ""APVIENOTAIS SARAKSTS - Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija""",Krista Vīndedze,7,1533,1218
Kurzeme,Kurzeme,"18. ""APVIENOTAIS SARAKSTS - Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija""",Raivis Kalējs,8,2433,1011
Kurzeme,Kurzeme,"18. ""APVIENOTAIS SARAKSTS - Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija""",Kristīne Niedre-Lathere,9,2235,1256
Kurzeme,Kurzeme,"18. ""APVIENOTAIS SARAKSTS - Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija""",Ainis Stūrmanis,10,1091,1122
Kurzeme,Kurzeme,"18. ""APVIENOTAIS SARAKSTS - Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija""",Valdis Skujiņš,11,1743,2350
Kurzeme,Kurzeme,"18. ""APVIENOTAIS SARAKSTS - Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija""",Māris Dadzis,12,1384,1093
Kurzeme,Kurzeme,"18. ""APVIENOTAIS SARAKSTS - Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija""",Jānis Džeriņš,13,1441,1307
Kurzeme,Kurzeme,"18. ""APVIENOTAIS SARAKSTS - Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija""",Ansis Brūns,14,878,1193
Kurzeme,Kurzeme,"18. ""APVIENOTAIS SARAKSTS - Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija""",Krists Bergmanis,15,1395,1405
Kurzeme,Kurzeme,"19. Politiskā partija ""Republika""",Ēriks Pucens,1,575,69
Kurzeme,Kurzeme,"19. Politiskā partija ""Republika""",Egils Gusts,2,225,62
Kurzeme,Kurzeme,"19. Politiskā partija ""Republika""",Ilona Lielmane,3,210,60
Kurzeme,Kurzeme,"19. Politiskā partija ""Republika""",Agnese Ziediņa,4,207,73
Kurzeme,Kurzeme,"19. Politiskā partija ""Republika""",Edgars Lielmanis,5,177,60
Kurzeme,Kurzeme,"19. Politiskā partija ""Republika""",Inga Zirka,6,182,62
Kurzeme,Kurzeme,"19. Politiskā partija ""Republika""",Ginta Bukāte,7,194,64
Kurzeme,Kurzeme,"19. Politiskā partija ""Republika""",Inese Ozoliņa,8,170,65
Kurzeme,Kurzeme,"19. Politiskā partija ""Republika""",Anda Stiba,9,180,64
Kurzeme,Kurzeme,"19. Politiskā partija ""Republika""",Valdis Grīnfogels,10,173,52
Kurzeme,Kurzeme,"19. Politiskā partija ""Republika""",Matīss Krēže,11,156,72
Kurzeme,Kurzeme,"19. Politiskā partija ""Republika""",Oskars Straume,12,155,80
Kurzeme,Kurzeme,"19. Politiskā partija ""Republika""",Līga Leikarte,13,138,71
Kurzeme,Kurzeme,"19. Politiskā partija ""Republika""",Māra Kūriņa,14,136,65
Kurzeme,Kurzeme,"19. Politiskā partija ""Republika""",Uldis Ozoliņš,15,180,70
Kurzeme,Liepāja,1. Jaunā VIENOTĪBA,Arvils Ašeradens,1,781,260
Kurzeme,Liepāja,1. Jaunā VIENOTĪBA,Inga Bērziņa,2,316,168
Kurzeme,Liepāja,1. Jaunā VIENOTĪBA,Guntars Račs,3,486,621
Kurzeme,Liepāja,1. Jaunā VIENOTĪBA,Kārlis Strautiņš,4,462,195
Kurzeme,Liepāja,1. Jaunā VIENOTĪBA,Ģirts Valdis Kristovskis,5,460,353
Kurzeme,Liepāja,1. Jaunā VIENOTĪBA,Ingrīda Circene,6,578,344
